Category,ID,Yield (kg),Processed (kg),Beer (liters),X Coordinate,Y Coordinate,Lane From,Lane To,Capacity (kg/liters),Repair Cost,Ground Class,convRate,Seed
Field,0,1,,,320,-564,,,,,,,
Field,3,1,,,331,-573,,,,,,,
Field,6,1,,,312,-542,,,,,,,
Brewery,1,,1,,-837,703,,,,,,,
Brewery,4,,1,,-691,-151,,,,,,,
Brewery,7,,1,,842,-241,,,,,,,
Pub,2,,,1,605,-320,,,,,,,
Pub,5,,,1,-210,671,,,,,,,
Pub,8,,,1,-109,472,,,,,,,
Lane,,,,,,,0,1,1,0,,,
Lane,,,,,,,3,4,1,0,,,
Lane,,,,,,,6,7,1,0,,,
Lane,,,,,,,1,2,1,0,,,
Lane,,,,,,,1,5,1,0,,,
Lane,,,,,,,1,8,1,0,,,
Lane,,,,,,,4,5,1,0,,,
Lane,,,,,,,7,5,1,0,,,
